[2015/03/31 11:10:31] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F6, IP:10.110.37.110, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6024-NaOH-F1, IP:10.110.147.60, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:34:56] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-NaOH-T1, IP:10.110.36.141, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-H2O2-F1, IP:10.110.36.133, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-PC-F2, IP:10.110.36.134, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-ECH-F2, IP:10.110.36.136, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-NaOH-T4, IP:10.110.36.138, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-PC-F1, IP:10.110.36.135, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F3, IP:10.110.37.113, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F2, IP:10.110.37.114, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-VCM-T2, IP:10.110.37.116, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F1, IP:10.110.37.115, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-VCM-T1, IP:10.110.37.117, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-VCM-F2, IP:10.110.36.125, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-NaOH-T2, IP:10.110.36.140, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-VCM-F3, IP:10.110.36.124, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6024-NaOH-F1, IP:10.110.147.60, 斷線
[2015/03/31 11:37:09] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
[2015/03/31 11:37:10] 設備名:ADAM-6024-NaOH-F6, IP:10.110.37.110, 斷線
[2015/03/31 11:37:10] 設備名:ADAM-6024-NaOH-F5, IP:10.110.37.111, 斷線
[2015/03/31 11:37:10] 設備名:ADAM-6024-NaOH-F4, IP:10.110.37.112, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F6, IP:10.110.37.110, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-NaOH-T4, IP:10.110.36.138, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-NaOH-T2, IP:10.110.36.140, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-PC-F2, IP:10.110.36.134, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-NaOH-T1, IP:10.110.36.141, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-ECH-F2, IP:10.110.36.136, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-PC-F1, IP:10.110.36.135, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-H2O2-F1, IP:10.110.36.133, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-VCM-F3, IP:10.110.36.124, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-VCM-F2, IP:10.110.36.125, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F1, IP:10.110.147.60, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F5, IP:10.110.37.111, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F4, IP:10.110.37.112, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F3, IP:10.110.37.113, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F2, IP:10.110.37.114, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6024-NaOH-F1, IP:10.110.37.115, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-VCM-T2, IP:10.110.37.116, 斷線
[2015/03/31 11:42:26] 設備名:ADAM-6017-VCM-T1, IP:10.110.37.117, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F1, IP:10.110.147.60, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F6, IP:10.110.37.110, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F5, IP:10.110.37.111, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F4, IP:10.110.37.112, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F3, IP:10.110.37.113, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F2, IP:10.110.37.114, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F1, IP:10.110.37.115, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-VCM-T2, IP:10.110.37.116, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-VCM-T1, IP:10.110.37.117, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-NaOH-T2, IP:10.110.36.140, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-NaOH-T1, IP:10.110.36.141, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-NaOH-T4, IP:10.110.36.138, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-ECH-F2, IP:10.110.36.136, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-PC-F1, IP:10.110.36.135, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-H2O2-F1, IP:10.110.36.133, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-VCM-F3, IP:10.110.36.124, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-PC-F2, IP:10.110.36.134, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-VCM-F2, IP:10.110.36.125, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:43:06] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6017-VCM-T1, IP:10.110.37.117, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F3, IP:10.110.37.113, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F2, IP:10.110.37.114, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F6, IP:10.110.37.110, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F5, IP:10.110.37.111, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F4, IP:10.110.37.112, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6017-NaOH-T1, IP:10.110.36.141, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6017-NaOH-T2, IP:10.110.36.140, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6017-NaOH-T4, IP:10.110.36.138, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-PC-F1, IP:10.110.36.135, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-ECH-F2, IP:10.110.36.136, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-H2O2-F1, IP:10.110.36.133, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-PC-F2, IP:10.110.36.134, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-VCM-F2, IP:10.110.36.125, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-VCM-F3, IP:10.110.36.124, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:48:20] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6024-NaOH-F1, IP:10.110.147.60, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6024-NaOH-F1, IP:10.110.37.115, 斷線
[2015/03/31 11:48:21] 設備名:ADAM-6017-VCM-T2, IP:10.110.37.116, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6017-NaOH-T1, IP:10.110.36.141, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6017-NaOH-T2, IP:10.110.36.140, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6017-NaOH-T4, IP:10.110.36.138, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-PC-F1, IP:10.110.36.135, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-ECH-F2, IP:10.110.36.136, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-H2O2-F1, IP:10.110.36.133, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-PC-F2, IP:10.110.36.134, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-VCM-F3, IP:10.110.36.124, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-VCM-F2, IP:10.110.36.125, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:52:28] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:52:29] 設備名:ADAM-6024-NaOH-F6, IP:10.110.37.110, 斷線
[2015/03/31 11:52:29] 設備名:ADAM-6024-NaOH-F5, IP:10.110.37.111, 斷線
[2015/03/31 11:52:29] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6024-NaOH-F1, IP:10.110.147.60, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6024-NaOH-F3, IP:10.110.37.113, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6024-NaOH-F1, IP:10.110.37.115, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6024-NaOH-F2, IP:10.110.37.114, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-VCM-T2, IP:10.110.37.116, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6017-VCM-T1, IP:10.110.37.117, 斷線
[2015/03/31 11:52:30] 設備名:ADAM-6024-NaOH-F4, IP:10.110.37.112, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6017-NaOH-T1, IP:10.110.36.141, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-RFCC-F1, IP:10.110.36.132, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-H2O2-F1, IP:10.110.36.133, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-RFCC-F2, IP:10.110.36.131, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-ECH-F2, IP:10.110.36.136, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-ECH-F1, IP:10.110.36.137, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6017-NaOH-T4, IP:10.110.36.138, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-VCM-F4, IP:10.110.36.123, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-VCM-F2, IP:10.110.36.125, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-VCM-F3, IP:10.110.36.124, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-VCM-F1, IP:10.110.36.126, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-LLDPE-F1, IP:10.110.36.127, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-2EH-F1, IP:10.110.36.129, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-HDPE-F1, IP:10.110.36.128, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-NBA-F1, IP:10.110.36.130, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-NaOH-F1, IP:10.110.45.139, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6017-PC-T1, IP:10.110.45.140, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-NaOH-F3, IP:10.110.150.40, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-NaOH-F2, IP:10.110.150.41, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-NaOH-F1, IP:10.110.150.42, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-VCM-F6, IP:10.110.36.121, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6017-ECH-T1, IP:10.110.150.43, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6017-NaOH-T3, IP:10.110.36.139, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-PC-F1, IP:10.110.36.135, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-VCM-F5, IP:10.110.36.122, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6024-PC-F2, IP:10.110.36.134, 斷線
[2015/03/31 11:53:39] 設備名:ADAM-6017-NaOH-T2, IP:10.110.36.140, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6017-HDPE-T1, IP:10.110.35.133, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6024-NaOH-F1, IP:10.103.115.151, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6017-RFCC-T2, IP:10.103.115.152, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6017-RFCC-T1, IP:10.103.115.153, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6024-NaOH-F1, IP:10.110.136.86, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6017-H2O2-T1, IP:10.110.136.87, 斷線
[2015/03/31 11:53:40] 設備名:ADAM-6017-NBA-T1, IP:10.110.147.61, 斷線
